question_text,question_group,group_size,survey_organisation,country,source_file,total_questions,unique_organizations,unique_countries
How much personal experience have you had with this technology? Smart speakers,ungrouped_18,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Facial recognition for unlocking phones,ungrouped_19,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Facial recognition for border control,ungrouped_20,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Targeted political advertising,ungrouped_21,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Virtual healthcare assistants,ungrouped_22,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Assessing loan repayment risk,ungrouped_23,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Virtual reality in education,ungrouped_24,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Robotic vacuum cleaners,ungrouped_25,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Assessing job eligibility,ungrouped_26,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Facial recognition for policing,ungrouped_27,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Assessing welfare eligibility,ungrouped_28,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
How much personal experience have you had with this technology? Assessing risk of cancer,ungrouped_29,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Assessing risk of cancer,ungrouped_30,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Facial recognition for border control,ungrouped_31,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Facial recognition for policing,ungrouped_32,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Facial recognition for unlocking phones,ungrouped_33,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Virtual reality in education,ungrouped_34,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Climate research simulations,ungrouped_35,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Smart speakers,ungrouped_36,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Robotic vacuum cleaners,ungrouped_37,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Robotic care assistants,ungrouped_38,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Assessing loan repayment risk,ungrouped_39,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Virtual healthcare assistants,ungrouped_40,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Driverless cars,ungrouped_41,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Assessing welfare eligibility,ungrouped_42,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Targeted consumer advertising,ungrouped_43,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Autonomous weapons,ungrouped_44,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Assessing job eligibility,ungrouped_45,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent do you think that the use of this technology will be beneficial? Targeted political advertising,ungrouped_46,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Driverless cars,ungrouped_47,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Autonomous weapons,Concern_about_AI_Enabled_Weapons,3,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,3,2,2
"Researchers have raised risks related to artificial intelligence. For each risk, say how concerned you are about the risk. AI being used to create a bioweapon",Concern_about_AI_Enabled_Weapons,3,YouGov – “AI and the End of Humanity”,United States,yougov_jul_2023.pdf,3,2,2
"Researchers have raised risks related to artificial intelligence. For each risk, say how concerned you are about the risk. AI being used to fly unmanned military drones",Concern_about_AI_Enabled_Weapons,3,YouGov – “AI and the End of Humanity”,United States,yougov_jul_2023.pdf,3,2,2
To what extent are you concerned about the use of this technology? Targeted consumer advertising,ungrouped_49,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Targeted political advertising,ungrouped_50,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Assessing job eligibility,ungrouped_51,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Virtual healthcare assistants,ungrouped_52,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Robotic care assistants,ungrouped_53,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Assessing welfare eligibility,ungrouped_54,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Assessing loan repayment risk,ungrouped_55,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Smart speakers,ungrouped_56,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Facial recognition for policing,ungrouped_57,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Facial recognition for unlocking phones,ungrouped_58,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Facial recognition for border control,ungrouped_59,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Assessing risk of cancer,ungrouped_60,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Climate research simulations,ungrouped_61,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Virtual reality in education,ungrouped_62,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
To what extent are you concerned about the use of this technology? Robotic vacuum cleaners,ungrouped_63,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
Which statement do you feel best reflects your personal opinion?,ungrouped_64,1,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,1,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? Laws and regulations",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? Procedures for appealing decisions",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? Security of personal information",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? Explanations on how AI decisions are made",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? Monitoring to check for discrimination",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? More human involvement",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? Government regulator approval",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? Don't know / Prefer not to say",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? Nothing",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? Something else",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Which of the following, if any, would make you more comfortable with AI technologies being used? None of these",Conditions_for_AI_Acceptance,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
Who do you think should be most responsible for ensuring AI is used safely? An independent regulator,Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
Who do you think should be most responsible for ensuring AI is used safely? The companies developing the AI technology,Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
Who do you think should be most responsible for ensuring AI is used safely? An independent oversight committee with citizen involvement,Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
Who do you think should be most responsible for ensuring AI is used safely? International standards bodies,Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
Who do you think should be most responsible for ensuring AI is used safely? Scientists and researchers in universities or research institutions,Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
Who do you think should be most responsible for ensuring AI is used safely? The Government,Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"Who do you think should be most responsible for ensuring AI is used safely? The people using the AI (e.g. companies, public services)",Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
Who do you think should be most responsible for ensuring AI is used safely? Don't know/Prefer not to say,Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
Who do you think should be most responsible for ensuring AI is used safely? No one should be responsible,Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
Who do you think should be most responsible for ensuring AI is used safely? Other (please specify),Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
Who do you think should be most responsible for ensuring AI is used safely? All of the above,Responsibility_for_AI_Safety_Attribution,11,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,11,1,1
"How concerned do you feel, if at all, about each of these groups producing new computer technologies for assessing eligibility for welfare? Private companies",Concern_about_AI_Developer_Type_for_Welfare_Assessment,4,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,4,1,1
"How concerned do you feel, if at all, about each of these groups producing new computer technologies for assessing eligibility for welfare? A governmental body",Concern_about_AI_Developer_Type_for_Welfare_Assessment,4,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,4,1,1
"How concerned do you feel, if at all, about each of these groups producing new computer technologies for assessing eligibility for welfare? Not-for-profit organisations",Concern_about_AI_Developer_Type_for_Welfare_Assessment,4,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,4,1,1
"How concerned do you feel, if at all, about each of these groups producing new computer technologies for assessing eligibility for welfare? Universities/academic researchers",Concern_about_AI_Developer_Type_for_Welfare_Assessment,4,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,4,1,1
"How concerned do you feel, if at all, about each of these groups producing new computer technologies for assessing risk of cancer? Private companies",Concern_about_AI_Developer_Type_for_Cancer_Assessment,4,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,4,1,1
"How concerned do you feel, if at all, about each of these groups producing new computer technologies for assessing risk of cancer? A governmental body",Concern_about_AI_Developer_Type_for_Cancer_Assessment,4,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,4,1,1
"How concerned do you feel, if at all, about each of these groups producing new computer technologies for assessing risk of cancer? Not-for-profit organisations",Concern_about_AI_Developer_Type_for_Cancer_Assessment,4,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,4,1,1
"How concerned do you feel, if at all, about each of these groups producing new computer technologies for assessing risk of cancer? Universities/academic researchers",Concern_about_AI_Developer_Type_for_Cancer_Assessment,4,"Ada Lovelace Institute, The Alan Turing Institute, Kantar",Great Britain,kantar_nov_2022.pdf,4,1,1
How much would you support/oppose pausing the development of large-scale AI systems for at least 6 months worldwide?,Support_6Month_AI_Development_Pause,6,Rethink Priorities,United States,rethink_priorities_apr_2023.pdf,6,3,3
"More than 1,000 technology leaders recently signed an open letter calling on researchers to pause development of certain large-scale AI systems for at least six months world-wide, citing fears of the ""profound risks to society and humanity."" Would you support or oppose a six-month pause on some kinds of AI development?",Support_6Month_AI_Development_Pause,6,YouGov – “AI and the End of Humanity”,United States,yougov_apr_2023.pdf,6,3,3
Would you support or oppose a six-month pause on some kinds of AI development?,Support_6Month_AI_Development_Pause,6,YouGov – “AI and the End of Humanity”,United States,yougov_apr_2023.pdf,6,3,3
"More than 1,000 technology leaders recently signed an open letter calling on researchers to pause development of certain large-scale AI systems for at least six months world-wide, citing fears of the ""profound risks to society and humanity."" Critics said the letter overstated risks and threatens AI research that could ""create enormous social and economic benefits across the economy and society."" Would you support or oppose a six-month pause on some kinds of AI development?",Support_6Month_AI_Development_Pause,6,YouGov – “AI and the End of Humanity”,United States,yougov_apr_2023.pdf,6,3,3
Would you support or oppose a six-month pause on some kinds of AI development?,Support_6Month_AI_Development_Pause,6,YouGov – “AI and the End of Humanity”,U.S.,yougov_aug_2023.pdf,6,3,3
How much would you support/oppose pausing the development of large-scale AI systems for at least 6 months worldwide?,Support_6Month_AI_Development_Pause,6,The University of Queensland,Australia,sara_jan_2024.html,6,3,3
Do you think AI should be regulated by a federal agency (similarly to how the FDA regulates the approval of drugs and medical devices)?,Support_for_Federal_AI_Agency,3,Rethink Priorities,United States,rethink_priorities_apr_2023.pdf,3,2,1
What do you think? Should the government set up an Al auditing organization?,Support_for_Federal_AI_Agency,3,YouGov – “AI and the End of Humanity”,United States,yougov_sep_2023.pdf,3,2,1
Would you support having a federal agency regulate the use of artificial intelligence?,Support_for_Federal_AI_Agency,3,YouGov – “AI and the End of Humanity”,United States,yougov_jul_2023.pdf,3,2,1
"In your daily life, how much do you worry about the negative effects AI could have on your life or on society more broadly?",General_Affective_Response_to_AI,161,Rethink Priorities,United States,rethink_priorities_apr_2023.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Global Country Average,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Thailand,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,South Korea,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Indonesia,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Mexico,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Turkey,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Malaysia,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Peru,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,India,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Brazil,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Singapore,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Colombia,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Romania,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,South Africa,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Chile,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Japan,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Spain,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Italy,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Poland,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Argentina,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Hungary,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Germany,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,New Zealand,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Great Britain,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Netherlands,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Australia,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Ireland,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Canada,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,United States,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,France,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Belgium,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me excited,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Sweden,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me nervous,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Global Country Average,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me nervous,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Australia,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me nervous,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Great Britain,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me nervous,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Canada,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me nervous,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,New Zealand,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me nervous,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,United States,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me nervous,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Ireland,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me nervous,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,India,ipsos_may_2023_global.pdf,161,3,37
Products and services using artificial intelligence make me nervous,General_Affective_Response_to_AI,161,Ipsos & World Economic Forum,Thailand,ipsos_may_2023_global.pdf,161,3,37
