rank,question_text,category,survey_org_clean,country,fieldwork_date,agreement,neutral,disagreement,n_respondents,response_scale,question_type,strategic_value,country_relevance,recency_score,sample_quality,total_score,selection_reason,justification,strategic_context,notes
11,How much confidence do you have in the U.S. government to regulate the use of artificial intelligence (AI) effectively?,AI_Regulation,Pew Research Center,United States,2024-08-12,7,22,62,5410,"A great deal/Quite a bit, Some, Not too much/None, Not sure",regulation_policy,10,9,5,5,39,Representative of semantic group,Best representative of 'Trust in Actors for AI Safety and Governance' theme,Policy advocacy: Demonstrates public support for AI regulation,Data for U.S. adults. 'A great deal of confidence' and 'Quite a bit of confidence' are combined for 'A great deal/Quite a bit'. 'Not too much confidence' and 'None' are combined for 'Not too much/None'. Those who did not give an answer are not shown.
12,"Thinking about the next 20 years, how likely do you think it is that artificial intelligence (AI) will cause major harm to humans?",AI_Risk_Concern,Pew Research Center,United States,2024-08-12,35,32,18,5410,"Extremely likely/Very likely, Somewhat likely, Not too likely/Not at all likely, Not sure",risk_concern,9,9,5,5,38,Representative of semantic group,Best representative of 'General Catastrophic Risk Concern' theme,Risk communication: Shows public concern about AI risks,Data for U.S. adults. 'Extremely likely' and 'Very likely' are combined for agreement. 'Somewhat likely' is neutral. 'Not too likely' and 'Not at all likely' are combined for disagreement. No answer is <1%.
13,"Thinking about yourself, do you think the increased use of artificial intelligence (AI) is more likely to benefit you or harm you?",AI_Sentiment,Pew Research Center,United States,2024-08-12,24,NA,43,5410,"Benefit them, Harm them, Not sure",risk_concern,9,9,5,5,38,Representative of semantic group,Best representative of 'Personal Positive Negative Impact of AI' theme,Risk communication: Shows public concern about AI risks,Data for U.S. adults. Those who did not give an answer are not shown.
14,How much do you trust The UK Government to use AI in a responsible way?,AI_Regulation,Ipsos,UK,2024-03-01,28,NA,66,2506,A great deal or a fair amount; Not very much or not at all,regulation_policy,10,8,5,5,38,Representative of semantic group,Best representative of 'Trust In Institutions To Use AI Safely And Responsibly' theme,Policy advocacy: Demonstrates public support for AI regulation,Agreement is 'A great deal or a fair amount'. Disagreement is 'Not very much or not at all'. Non-response calculated as 100 - (28+66). Base: All UK adults 16+ who are in work.
15,How much do you trust The UK Government to use AI in a safe way?,AI_Regulation,Ipsos,UK,2024-03-01,30,NA,65,2506,A great deal or a fair amount; Not very much or not at all,regulation_policy,10,8,5,5,38,Representative of semantic group,Best representative of 'Trust In Institutions To Use AI Safely And Responsibly' theme,Policy advocacy: Demonstrates public support for AI regulation,Agreement is 'A great deal or a fair amount'. Disagreement is 'Not very much or not at all'. Non-response calculated as 100 - (30+65). Base: All UK adults 16+ who are in work.
16,How often do you use AI in your daily life?,Other,SARA2024 (University of Queensland),Australia,2024-01-01,21,NA,25,1151,Multiple times per day|Daily|Multiple times per month|Once a month or less|Never|Unsure,usage_experience,4,10,5,4,38,SARA2024 - Australian baseline,Australian baseline data - critical for tracking domestic attitudes,Contextual: Provides background understanding,"Agreement combines 'Multiple times per day' (8%) and 'Daily' (13%). Disagreement combines 'Once a month or less' (10%) and 'Never' (15%). 'Unsure' (29%) is treated as non_response. The remaining 25% (47% total frequent users - 21% daily/multiple times per day) are 'Multiple times per month'. Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
17,"Thinking about artificial intelligence (AI) today, do you think AI would do better, worse or about the same as people whose job it is to make a medical diagnosis?",Other,Pew Research Center,United States,2024-08-12,26,15,33,5410,"AI would do this better, AI would do this about the same, AI would do this worse, Not sure",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'AI vs Human Performance by Task' theme,Economic impact: Tracks job displacement concerns,Data for U.S. adults. Those who did not give an answer are not shown.
18,"Thinking about artificial intelligence (AI) today, do you think AI would do better, worse or about the same as people whose job it is to write a news story?",Other,Pew Research Center,United States,2024-08-12,19,20,41,5410,"AI would do this better, AI would do this about the same, AI would do this worse, Not sure",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'AI vs Human Performance by Task' theme,Economic impact: Tracks job displacement concerns,Data for U.S. adults. Those who did not give an answer are not shown.
19,"Thinking about artificial intelligence (AI) today, do you think AI would do better, worse or about the same as people whose job it is to make a hiring decision?",Other,Pew Research Center,United States,2024-08-12,11,15,51,5410,"AI would do this better, AI would do this about the same, AI would do this worse, Not sure",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'AI vs Human Performance by Task' theme,Economic impact: Tracks job displacement concerns,Data for U.S. adults. Those who did not give an answer are not shown.
20,"Thinking about artificial intelligence (AI) today, do you think AI would do better, worse or about the same as people whose job it is to write a song?",Other,Pew Research Center,United States,2024-08-12,14,19,43,5410,"AI would do this better, AI would do this about the same, AI would do this worse, Not sure",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'AI vs Human Performance by Task' theme,Economic impact: Tracks job displacement concerns,Data for U.S. adults. Those who did not give an answer are not shown.
21,"Thinking about artificial intelligence (AI) today, do you think AI would do better, worse or about the same as people whose job it is to decide who gets a loan?",Other,Pew Research Center,United States,2024-08-12,19,20,39,5410,"AI would do this better, AI would do this about the same, AI would do this worse, Not sure",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'AI vs Human Performance by Task' theme,Economic impact: Tracks job displacement concerns,Data for U.S. adults. Those who did not give an answer are not shown.
22,"Thinking about artificial intelligence (AI) today, do you think AI would do better, worse or about the same as people whose job it is to decide who gets parole from prison?",Other,Pew Research Center,United States,2024-08-12,10,11,49,5410,"AI would do this better, AI would do this about the same, AI would do this worse, Not sure",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'AI vs Human Performance by Task' theme,Economic impact: Tracks job displacement concerns,Data for U.S. adults. Those who did not give an answer are not shown.
23,"Thinking about artificial intelligence (AI) today, do you think AI would do better, worse or about the same as people whose job it is to drive someone from one place to another?",Other,Pew Research Center,United States,2024-08-12,19,20,37,5410,"AI would do this better, AI would do this about the same, AI would do this worse, Not sure",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'AI vs Human Performance by Task' theme,Economic impact: Tracks job displacement concerns,Data for U.S. adults. Those who did not give an answer are not shown.
24,"Thinking about artificial intelligence (AI) today, do you think AI would do better, worse or about the same as people whose job it is to provide customer service?",Other,Pew Research Center,United States,2024-08-12,19,19,47,5410,"AI would do this better, AI would do this about the same, AI would do this worse, Not sure",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'AI vs Human Performance by Task' theme,Economic impact: Tracks job displacement concerns,Data for U.S. adults. Those who did not give an answer are not shown.
25,"Before today, had you heard of AI for Assessing risk of cancer?",AI_Knowledge,Ada Lovelace Institute,United Kingdom,2024-11-01,40,54,6,3513,Yes; Not sure / Prefer not to say; No,risk_concern,9,8,5,5,37,Representative of semantic group,Best representative of 'Awareness of Specific AI Applications' theme,Risk communication: Shows public concern about AI risks,Nationally representative survey. Data weighted to match UK population. N_respondents is total sample size.
26,"Before today, had you heard of AI for Assessing loan repayment risk?",AI_Knowledge,Ada Lovelace Institute,United Kingdom,2024-11-01,24,69,7,3513,Yes; Not sure / Prefer not to say; No,risk_concern,9,8,5,5,37,Representative of semantic group,Best representative of 'Awareness of Specific AI Applications' theme,Risk communication: Shows public concern about AI risks,Nationally representative survey. Data weighted to match UK population. N_respondents is total sample size.
27,What is the likelihood that AI eventually becomes more intelligent than people?,AI_Risk_Concern,SARA2024 (University of Queensland),Australia,2024-01-01,88,NA,12,1151,Very likely (>95% chance)|Somewhat likely: 60-80% chance|Only slightly likely: 20-40% chance|Not at all likely (<5% chance)|AI is already more intelligent than people,other,3,10,5,4,37,Representative of semantic group,Best representative of 'Concern About AI Superintelligence And Loss Of Control' theme,Contextual: Provides background understanding,"Agreement combines 'Very likely (>95% chance)', 'Somewhat likely: 60-80% chance', and 'AI is already more intelligent than people'. Disagreement combines 'Only slightly likely: 20-40% chance' and 'Not at all likely (<5% chance)'. Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
28,"Thinking about the U.S. over the next 20 years, do you think that artificial intelligence (AI) will lead to __ jobs in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,5,14,64,5410,"More jobs, Fewer jobs, Will not make much difference, Not sure",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'Concern Societal Job Loss from AI' theme,Economic impact: Tracks job displacement concerns,Data for U.S. adults. Those who did not give an answer are not shown.
29,"When it comes to artificial intelligence (AI), how concerned are you about AI leading to job loss?",Job_Displacement,Pew Research Center,United States,2024-08-12,NA,30,13,5410,"Extremely/Very concerned, Somewhat concerned, Not too/Not at all concerned, No answer",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'Concern Societal Job Loss from AI' theme,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'Extremely concerned' and 'Very concerned' are combined for 'Extremely/Very concerned'. 'Not too concerned' and 'Not at all concerned' are combined for 'Not too/Not at all concerned'. Those who did not give an answer or gave responses of 'somewhat concerned,' 'not too concerned' or 'not at all concerned' are not shown. Agreement is 'Extremely/Very concerned'."
30,To what extent do you think regulation for AI in the UK is keeping pace with developments in AI technologies?,AI_Regulation,Ipsos,UK,2023-09-01,NA,NA,59,5098,Slower; Keeping pace; Faster,regulation_policy,10,8,4,5,37,Representative of semantic group,Best representative of 'Pace Of AI Regulation' theme,Policy advocacy: Demonstrates public support for AI regulation,Disagreement is 'Slower'. Other options not explicitly shown but implied by the chart. Non-response calculated as 100 - 59. Base: All adults 16+.
31,To what extent do you think that the use of Assessing risk of cancer will be beneficial?,AI_Sentiment,Ada Lovelace Institute,United Kingdom,2024-11-01,86,NA,9,3513,Very; Fairly; Not very; Not at all; Don't know / Prefer not to say,risk_concern,9,8,5,5,37,Representative of semantic group,Best representative of 'Perceived Benefit of Specific AI Applications' theme,Risk communication: Shows public concern about AI risks,Nationally representative survey. Data weighted to match UK population. Agreement combines 'Very' and 'Fairly'. Disagreement combines 'Not very' and 'Not at all'.
32,To what extent do you think that the use of Assessing loan repayment risk will be beneficial?,AI_Sentiment,Ada Lovelace Institute,United Kingdom,2024-11-01,57,NA,30,3513,Very; Fairly; Not very; Not at all; Don't know / Prefer not to say,risk_concern,9,8,5,5,37,Representative of semantic group,Best representative of 'Perceived Benefit of Specific AI Applications' theme,Risk communication: Shows public concern about AI risks,Nationally representative survey. Data weighted to match UK population. Agreement combines 'Very' and 'Fairly'. Disagreement combines 'Not very' and 'Not at all'.
33,Extent to which the public think different sectors will benefit or lose out from Al - Government and the public sector,AI_Sentiment,Ipsos,UK,2023-09-01,38,30,21,5098,Benefit; Benefit and lose out in equal measure; Lose out,regulation_policy,10,8,4,5,37,Representative of semantic group,Best representative of 'Perceived Impact AI Benefit vs Lose Out Government' theme,Policy advocacy: Demonstrates public support for AI regulation,Agreement is 'Benefit'. Neutral is 'Benefit and lose out in equal measure'. Disagreement is 'Lose out'.
34,"On balance, to what extent do you think Government and the public sector will benefit or lose out from AI?",AI_Sentiment,Ipsos,UK,2023-09-01,38,24,31,5098,Benefit; Benefit and lose out in equal measure; Lose out,regulation_policy,10,8,4,5,37,Representative of semantic group,Best representative of 'Perceived Impact AI Benefit vs Lose Out Government' theme,Policy advocacy: Demonstrates public support for AI regulation,Agreement is 'Benefit'. Neutral is 'Benefit and lose out in equal measure'. Disagreement is 'Lose out'. Non-response calculated as 100 - (38+24+31). Base: All UK adults 16+.
35,"Thinking about the U.S. over the next 20 years, what impact do you think artificial intelligence (AI) will have on how people do their jobs in the U.S.?",Job_Displacement,Pew Research Center,United States,2024-08-12,23,27,36,5410,"Very or somewhat positive, Equally positive or negative, Very or somewhat negative, Not sure",job_displacement,8,9,5,5,37,Representative of semantic group,Best representative of 'Perceived Impact of AI on Societal Sectors' theme,Economic impact: Tracks job displacement concerns,"Data for U.S. adults. 'Very/somewhat positive' and 'very/somewhat negative' are combined. Those who did not give an answer or gave responses of 'equally positive or negative,' 'very negative,' 'somewhat negative' or 'not sure' are not shown."
36,To what extent do you think regulation for Al in the UK is keeping pace with developments in Al technologies? Al regulation is developing...,AI_Regulation,Ipsos,UK,2023-09-01,3,11,59,5098,FASTER; SAME PACE; SLOWER; DON'T KNOW,regulation_policy,10,8,4,5,37,Representative of semantic group,Best representative of 'Perception Pace Of UK AI Regulation' theme,Policy advocacy: Demonstrates public support for AI regulation,Agreement is 'FASTER'. Neutral is 'SAME PACE'. Disagreement is 'SLOWER'.
37,"Thinking about actions to regulate the development and use of Al, do you think too much, too little or the right amount is being done by...? The UK Government",AI_Regulation,Ipsos,UK,2023-09-01,3,13,60,5098,Too much; The right amount; Too little; Don't know,regulation_policy,10,8,4,5,37,Representative of semantic group,Best representative of 'Perception Pace Of UK AI Regulation' theme,Policy advocacy: Demonstrates public support for AI regulation,Agreement is 'Too much'. Neutral is 'The right amount'. Disagreement is 'Too little'.
38,"Thinking about actions to regulate the development and use of Al, do you think too much, too little or the right amount is being done by...? International governments working together",AI_Regulation,Ipsos,UK,2023-09-01,3,9,64,5098,Too much; The right amount; Too little; Don't know,regulation_policy,10,8,4,5,37,Representative of semantic group,Best representative of 'Support International AI Regulation Treaty' theme,Policy advocacy: Demonstrates public support for AI regulation,Agreement is 'Too much'. Neutral is 'The right amount'. Disagreement is 'Too little'.
39,Assess whether someone may violate an immigration law,AI_Regulation,RAND Corporation,United States,2022-10-17,36,0,40,2841,"Strongly Support, Support, Neither Support nor Oppose, Opposed, Strongly Opposed, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,Representative of semantic group,Best representative of 'Support for AI in Immigration Enforcement' theme,Policy advocacy: Demonstrates public support for AI regulation,Percentage derived from Figure 4.8. Support is 36%. Opposition is 40%. Neutral/Non-response not explicitly broken out in chart.
40,Track movement of a vehicle of someone suspected of violating immigration laws,AI_Regulation,RAND Corporation,United States,2022-10-17,45,0,30,2841,"Strongly Support, Support, Neither Support nor Oppose, Opposed, Strongly Opposed, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,Representative of semantic group,Best representative of 'Support for AI in Immigration Enforcement' theme,Policy advocacy: Demonstrates public support for AI regulation,"Percentages derived from Figure 4.10. Support is ~45%, Opposition is ~30%. Neutral/Non-response not explicitly broken out in chart."
41,"Track someone suspected of violating immigration laws, such as [having] an expired visa",AI_Regulation,RAND Corporation,United States,2022-10-17,45,0,30,2841,"Strongly Support, Support, Neither Support nor Oppose, Opposed, Strongly Opposed, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,Representative of semantic group,Best representative of 'Support for AI in Immigration Enforcement' theme,Policy advocacy: Demonstrates public support for AI regulation,"Percentages derived from Figure 4.11. Support is ~45%, Opposition is ~30%. Neutral/Non-response not explicitly broken out in chart."
42,Do you think artificial intelligence (AI) will ever get to a point where you would trust it to make important decisions for you?,AI_Sentiment,Pew Research Center,United States,2024-08-12,13,NA,63,5410,"Yes, it will; No, it will not; Not sure",trust_safety,8,9,5,5,37,Representative of semantic group,Best representative of 'Trust in AI Output and Decision Making' theme,Trust building: Reveals public trust gaps in AI safety,Data for U.S. adults. No answer is <1%.
43,"Overall, the benefits of U.S. government use of facial recognition technology outweigh its risks.",AI_Sentiment,RAND Corporation,United States,2022-10-17,34,0,21,2841,"Strongly Agree, Agree, Neither Agree nor Disagree, Disagree, Strongly Disagree, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,Representative of semantic group,Best representative of 'Trust in US Government Use of Facial Recognition' theme,Policy advocacy: Demonstrates public support for AI regulation,"Percentages derived from Figure 4.2. 'Agree or strongly agree' is 34%. 'Disagree or strongly disagree' is 21% (5% + 16%). 'Neither agree nor disagree' is not explicitly shown as a separate bar for this question in Figure 4.2, but is a response option in the survey instrument. 'Don't know or it depends' is 45%. The sum of agreement, disagreement, and non_response is 100%. The 'Neither agree nor disagree' percentage is implicitly 0% from the chart for this specific question, as it's grouped with 'Don't know or it depends' in the 'Neutral' bar in Figure 4.1, but Figure 4.2 breaks it down differently. Based on Figure 4.2, the 'Neither agree nor disagree' is 16% for 'There are risks...' and 15% for 'There are benefits...'. For 'Overall, the benefits... outweigh its risks', the chart only shows 'Agree or strongly agree', 'Disagree or strongly disagree', and 'Don't know or it depends'. The 45% 'Don't know or it depends' for this question in Figure 4.2 corresponds to the 'Neutral' bar in Figure 4.1, which is 41% for 'Overall, the benefits of U.S. government use of facial recognition technology outweigh its risks'. Using Figure 4.2 for the specific question."
44,I trust the U.S. government's use of facial recognition technology.,AI_Sentiment,RAND Corporation,United States,2022-10-17,23,0,41,2841,"Strongly Agree, Agree, Neither Agree nor Disagree, Disagree, Strongly Disagree, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,Representative of semantic group,Best representative of 'Trust in US Government Use of Facial Recognition' theme,Policy advocacy: Demonstrates public support for AI regulation,Percentages derived from Figure 4.1 and text on page 41. 'Less than one-quarter of respondents reported trusting the government's use of FRT' (page 35). '23 percent of respondents indicating agreement or strong agreement that they trusted U.S. government use of FRT' (page 41). '36 percent of respondents provided either neutral or ambiguous responses about trusting U.S. government use of FRT' (page 41). Disagreement is calculated as 100 - 23 - 36 = 41%. Neutral is implicitly included in the 36% non_response based on Figure 4.1.
45,It is important for Australia to play a leading role in the international development of AI.,AI_Regulation,SARA2024 (University of Queensland),Australia,2024-01-01,87,NA,13,1151,Agree|Disagree,other,3,10,5,4,37,SARA2024 - Australian baseline,Australian baseline data - critical for tracking domestic attitudes,Contextual: Provides background understanding,"Online survey using Qualtrics platform. Participants recruited through Online Research Unit’s panel, with nationally representative quota sampling by gender, age group, and state/territory. Multilevel regression with poststratification (MRP) used to create Australian population estimates and confidence intervals, using 2021 Census information about sex, age, state/territory, and education."
46,There are risks of the U.S. government's use of facial recognition technology.,AI_Risk_Concern,RAND Corporation,United States,2022-10-17,75,0,5,2841,"Strongly Agree, Agree, Neither Agree nor Disagree, Disagree, Strongly Disagree, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Policy advocacy: Demonstrates public support for AI regulation,Percentages derived from Figure 4.2. 'Agree or strongly agree' is 75%. 'Disagree or strongly disagree' is 5%. 'Neither agree nor disagree' is 16%. 'Don't know or it depends' is 4%. The sum is 100%. Neutral is 16%.
47,There are benefits of the U.S. government's use of facial recognition technology.,AI_Sentiment,RAND Corporation,United States,2022-10-17,66,0,10,2841,"Strongly Agree, Agree, Neither Agree nor Disagree, Disagree, Strongly Disagree, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Policy advocacy: Demonstrates public support for AI regulation,Percentages derived from Figure 4.2. 'Agree or strongly agree' is 66%. 'Disagree or strongly disagree' is 10%. 'Neither agree nor disagree' is 15%. 'Don't know or it depends' is 10%. The sum is 101% due to rounding. Neutral is 15%.
48,Assess whether an event like a protest may need law enforcement,AI_Regulation,RAND Corporation,United States,2022-10-17,50,0,20,2841,"Strongly Support, Support, Neither Support nor Oppose, Opposed, Strongly Opposed, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Policy advocacy: Demonstrates public support for AI regulation,Percentage derived from Figure 4.8. Support is 50%. Opposition is 20%. Neutral/Non-response not explicitly broken out in chart.
49,How much would you support or oppose the U.S. government's use of photos from these sources for facial recognition technology? - Driver's license photos,AI_Regulation,RAND Corporation,United States,2022-10-17,60,0,20,2841,"Strongly Support, Support, Neither Support nor Oppose, Opposed, Strongly Opposed, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Policy advocacy: Demonstrates public support for AI regulation,"Percentages derived from Figure 4.9 (Crime records bar). The question is about data sources for risk algorithms, not FRT. The question text in the survey instrument (Q15) is 'How much would you support or oppose the U.S. government's use of the following data sources to assess how likely it is that something may occur?'. The chart labels are 'Use' and then lists data sources. The first bar is 'Crime records'. The text on page 47 states 'the two government-owned data sources—crime records and government databases—are the only options for which more than half of respondents indicate support.' This implies the first bar is 'Crime records'. Support is ~60%, Opposition is ~20%. Neutral/Non-response not explicitly broken out in chart."
50,How much would you support or oppose the U.S. government's use of photos from these sources for facial recognition technology? - Government databases,AI_Regulation,RAND Corporation,United States,2022-10-17,55,0,25,2841,"Strongly Support, Support, Neither Support nor Oppose, Opposed, Strongly Opposed, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Policy advocacy: Demonstrates public support for AI regulation,"Percentages derived from Figure 4.9 (Government databases bar). Support is ~55%, Opposition is ~25%. Neutral/Non-response not explicitly broken out in chart."
51,How much would you support or oppose the U.S. government's use of photos from these sources for facial recognition technology? - Online activity,AI_Regulation,RAND Corporation,United States,2022-10-17,35,0,40,2841,"Strongly Support, Support, Neither Support nor Oppose, Opposed, Strongly Opposed, Don't Know/It Depends, Prefer not to Say",regulation_policy,10,9,3,5,37,High strategic value from reputable source,High policy advocacy value - regulation/risk questions,Policy advocacy: Demonstrates public support for AI regulation,"Percentages derived from Figure 4.9 (Online activity bar). Support is ~35%, Opposition is ~40%. Neutral/Non-response not explicitly broken out in chart."
